1782978207,3396,24.75,4,4793,-0.01,
1782978210,3380,24.75,4,4793,-0.01,
1782978213,3380,24.75,4,4789,-0.01,
1782978216,3380,24.75,4,4791,-0.01,
1782978219,3380,24.75,4,4789,-0.01,
1782978222,3380,24.75,4,4787,-0.01,
1782978225,3380,24.75,4,4789,-0.01,
1782978228,3380,24.75,4,4787,-0.01,
1782978231,3380,24.75,4,4785,-0.01,
1782978234,3380,24.75,4,4785,-0.01,
1782978237,3380,24.75,4,4785,-0.01,
1782978240,3380,24.75,4,4785,-0.01,
1782978243,3380,24.75,4,4785,-0.01,
1782978246,3380,24.75,4,4784,-0.01,
1782978249,3380,24.75,4,4784,-0.01,
1782978252,3380,24.75,4,4784,-0.01,
1782978255,3380,24.75,4,4782,-0.01,
1782978258,3380,24.75,4,4780,-0.01,
1782978261,3380,24.75,4,4784,-0.01,
1782978264,3380,24.75,4,4782,-0.01,
1782978267,3380,24.75,4,4782,-0.01,
1782978270,3380,24.75,4,4780,-0.01,
1782978273,3380,24.75,4,4782,-0.01,
1782978276,3380,24.75,4,4778,-0.01,
1782978279,3380,24.75,4,4780,-0.01,
